Ano,MAE,RMSE,R2,n
2014,3.265314537929349,7.701516859936664,0.8742245300932616,65477
2015,3.201332316706128,7.937856405966019,0.8744704220589412,74757
2016,4.454604598606379,9.487014348597361,0.8703306933681121,58409
2017,2.3902596816417416,6.541632962423323,0.9203337770810995,66466
2018,4.202593151420607,8.93165392627149,0.9126614433633122,39103
2019,3.2972943160150647,7.447040097584844,0.9164402825139355,63459
2020,3.1299831107995284,7.279718120335349,0.9272719383527676,62762
2021,3.3771983409960455,7.727064136844131,0.9235618393832022,62206
2022,3.35756211739287,7.787343960765424,0.9377439649835377,55540
2023,3.922863916170289,8.320561694810419,0.9430664343384809,50197
2024,1.7812945891286276,4.883039635538126,0.9742882223013266,80597
2025,2.8291461367697224,6.6399456821227805,0.9378809071061889,36938
