DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/01/01 16:52:00,AQUA_M-T,Brasil,PIAUÍ,ALVORADA DO GURGUÉIA,Cerrado,3,0.88,0.15,49.3,-8.39686,-44.14182
2025/01/01 16:52:00,AQUA_M-T,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado,0,0.27,0.03,36.0,-10.86525,-44.28284
2025/01/01 16:52:00,AQUA_M-T,Brasil,PIAUÍ,ALVORADA DO GURGUÉIA,Cerrado,3,0.97,0.28,45.2,-8.39164,-44.13784
2025/01/01 16:54:00,AQUA_M-T,Brasil,MARANHÃO,ARAIOSES,Cerrado,-999,0.0,0.7,14.3,-3.04597,-41.99903
2025/01/01 16:54:00,AQUA_M-T,Brasil,MARANHÃO,PASSAGEM FRANCA,Cerrado,1,0.0,0.72,38.4,-6.12365,-43.60668
2025/01/01 16:54:00,AQUA_M-T,Brasil,MARANHÃO,SANTANA DO MARANHÃO,Cerrado,0,0.1,1.0,24.1,-3.21371,-42.70877
2025/01/01 16:54:00,AQUA_M-T,Brasil,MARANHÃO,SANTO ANTÔNIO DOS LOPES,Cerrado,2,0.0,1.0,36.4,-4.81424,-44.60632
2025/01/01 16:54:00,AQUA_M-T,Brasil,MARANHÃO,SANTO ANTÔNIO DOS LOPES,Cerrado,2,0.0,0.99,41.4,-4.81753,-44.61029
2025/01/01 18:30:00,AQUA_M-T,Brasil,MATO GROSSO,SAPEZAL,Cerrado,0,0.57,0.03,5.4,-13.12376,-58.92569
2025/01/01 18:30:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MUTUM,Cerrado,0,31.69,0.0,10.9,-13.53867,-56.27075
2025/01/01 18:30:00,AQUA_M-T,Brasil,MATO GROSSO,SAPEZAL,Cerrado,0,0.68,0.04,3.9,-13.12245,-58.91667
2025/01/02 17:28:00,AQUA_M-T,Brasil,SÃO PAULO,BEBEDOURO,Cerrado,1,10.33,0.0,13.7,-20.95671,-48.4086
2025/01/02 17:28:00,AQUA_M-T,Brasil,SÃO PAULO,JABOTICABAL,Cerrado,3,15.76,0.0,20.3,-21.28343,-48.32915
2025/01/02 17:32:00,AQUA_M-T,Brasil,MARANHÃO,TUNTUM,Cerrado,0,4.31,0.41,10.6,-5.58374,-44.75762
2025/01/02 17:32:00,AQUA_M-T,Brasil,MARANHÃO,FORTUNA,Cerrado,1,0.1,0.84,26.3,-5.74812,-44.00105
2025/01/02 17:32:00,AQUA_M-T,Brasil,PIAUÍ,CORRENTE,Cerrado,2,0.1,0.27,11.6,-10.57655,-45.20745
2025/01/02 17:32:00,AQUA_M-T,Brasil,PIAUÍ,PARNAGUÁ,Cerrado,1,0.32,0.14,5.0,-10.34624,-44.64229
2025/01/02 17:32:00,AQUA_M-T,Brasil,PIAUÍ,CANTO DO BURITI,Cerrado,0,0.38,0.15,29.4,-8.10335,-43.45298
